time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2026/06/05 12:40:51.426,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:52.426,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:53.426,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:55.782,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:56.755,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:57.756,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:58.771,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:40:59.748,5,7,0.000,2.946,0,0,3,3,0,0
2026/06/05 12:41:00.756,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:41:01.780,0,7,0.000,0.000,0,0,0,0,0,0
2026/06/05 12:41:02.747,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:03.771,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:04.749,5,6,0.000,3.025,0,0,2,2,0,0
2026/06/05 12:41:05.778,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:06.747,5,6,0.000,4.615,0,0,0,0,0,0
2026/06/05 12:41:07.751,5,6,0.000,3.025,0,0,2,2,0,0
2026/06/05 12:41:08.768,5,6,0.000,3.156,0,0,1,1,0,0
2026/06/05 12:41:09.753,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:10.771,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:11.751,5,6,0.000,3.025,0,0,2,2,0,0
2026/06/05 12:41:12.759,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:13.760,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:14.755,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:15.768,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:16.752,5,7,0.000,2.946,0,0,1,1,0,0
2026/06/05 12:41:17.751,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:18.773,5,7,0.000,2.946,0,0,3,3,0,0
2026/06/05 12:41:19.750,5,7,0.000,2.946,0,0,2,2,0,0
2026/06/05 12:41:20.775,5,6,0.000,3.025,0,0,1,1,0,0
2026/06/05 12:41:21.750,5,6,0.000,3.025,0,0,1,1,0,0
2026/06/05 12:41:22.754,5,7,0.000,2.946,0,0,3,3,0,0
2026/06/05 12:41:23.772,5,6,0.000,3.025,0,0,1,1,0,0
2026/06/05 12:41:24.755,5,7,0.000,2.945,0,0,1,1,0,0
2026/06/05 12:41:25.773,5,7,0.000,2.945,0,0,1,1,0,0
2026/06/05 12:41:26.751,5,6,0.000,3.133,0,0,1,1,0,0
