time,sat,sys,freq,az,el,snr,resp,resc,slip,vsat,lock,outc,rejc,quality_score,decision,reason,var_factor
2005/04/02 00:00:00.000,G07,GPS,1,298.1,16.2,0.0,1.0350,0.0035,0,1,1,0,0,50,reject,large_code_residual,1e+006
2005/04/02 00:00:00.000,G07,GPS,2,298.1,16.2,0.0,-0.2360,0.0025,0,1,1,0,0,75,downweight,large_phase_residual,1.86464
2005/04/02 00:00:00.000,G08,GPS,1,242.9,20.1,0.0,-0.8867,-0.0029,0,1,1,0,0,75,downweight,large_code_residual,3.41809
2005/04/02 00:00:00.000,G08,GPS,2,242.9,20.1,0.0,-0.2667,-0.0037,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G11,GPS,1,23.0,69.5,0.0,0.0000,0.0000,0,1,1,0,0,50,reject,large_code_residual,1e+006
2005/04/02 00:00:00.000,G11,GPS,2,23.0,69.5,0.0,0.0000,0.0000,0,1,1,0,0,75,downweight,large_phase_residual,1.86464
2005/04/02 00:00:00.000,G19,GPS,1,86.4,31.7,0.0,-0.6519,-0.0021,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G19,GPS,2,86.4,31.7,0.0,-0.5219,0.0030,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G20,GPS,1,161.2,45.4,0.0,-0.0193,-0.0036,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G20,GPS,2,161.2,45.4,0.0,0.1797,0.0014,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G24,GPS,1,245.6,34.8,0.0,0.6816,0.0004,0,1,1,0,0,75,downweight,large_code_residual,1.71929
2005/04/02 00:00:00.000,G24,GPS,2,245.6,34.8,0.0,-0.5634,0.0056,0,1,1,0,0,75,downweight,large_code_residual,1.73627
2005/04/02 00:00:00.000,G28,GPS,1,306.7,47.2,0.0,0.1260,-0.0013,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:00.000,G28,GPS,2,306.7,47.2,0.0,-0.1720,-0.0028,0,1,1,0,0,100,use,nominal,1
2005/04/02 00:00:30.000,G07,GPS,1,298.3,16.3,0.0,0.0415,0.0010,0,1,2,0,0,100,use,nominal,1
2005/04/02 00:00:30.000,G07,GPS,2,298.3,16.3,0.0,-0.2775,0.0011,0,1,2,0,0,100,use,nominal,1
2005/04/02 00:00:30.000,G08,GPS,1,242.7,19.9,0.0,-0.1338,0.0031,0,1,2,0,0,75,downweight,large_phase_residual,1.00764
2005/04/02 00:00:30.000,G08,GPS,2,242.7,19.9,0.0,0.8342,0.0022,0,1,2,0,0,75,downweight,large_code_residual,8.26094
2005/04/02 00:00:30.000,G11,GPS,1,23.4,69.3,0.0,0.0000,0.0000,0,1,2,0,0,75,downweight,large_phase_residual,2.45638
2005/04/02 00:00:30.000,G11,GPS,2,23.4,69.3,0.0,0.0000,0.0000,0,1,2,0,0,75,downweight,large_phase_residual,8.26094
