time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:00:00.000,1,7,24.907,2.677,0,0,0,0,0,0
2005/04/02 00:00:30.000,1,7,41.574,2.672,0,0,0,0,0,0
2005/04/02 00:01:00.000,1,7,41.316,2.667,0,0,0,0,0,0
2005/04/02 00:01:30.000,1,7,53.645,2.662,0,0,0,0,0,0
2005/04/02 00:02:00.000,1,7,65.060,2.657,0,0,0,0,0,0
2005/04/02 00:02:30.000,1,7,68.777,2.651,0,0,0,0,0,0
2005/04/02 00:03:00.000,1,7,78.716,2.645,0,0,0,0,0,0
2005/04/02 00:03:30.000,1,7,70.943,2.640,0,0,0,0,0,0
2005/04/02 00:04:00.000,1,7,69.199,2.634,0,0,0,0,0,0
2005/04/02 00:04:30.000,1,7,66.412,2.628,0,0,0,0,0,0
2005/04/02 00:05:00.000,1,7,69.817,2.622,0,0,0,0,0,0
2005/04/02 00:05:30.000,1,7,86.504,2.615,0,0,0,0,0,0
2005/04/02 00:06:00.000,1,7,83.592,2.609,0,0,0,0,0,0
2005/04/02 00:06:30.000,1,7,86.850,2.603,0,0,0,0,0,0
2005/04/02 00:07:00.000,1,7,88.458,2.597,0,0,0,0,0,0
2005/04/02 00:07:30.000,1,7,89.086,2.590,0,0,0,0,0,0
2005/04/02 00:08:00.000,1,7,95.056,2.584,0,0,0,0,0,0
2005/04/02 00:08:30.000,1,7,101.215,2.577,0,0,0,0,0,0
2005/04/02 00:09:00.000,1,7,107.116,2.570,0,0,0,0,0,0
2005/04/02 00:09:30.000,1,7,108.664,2.564,0,0,0,0,0,0
2005/04/02 00:10:00.000,1,7,110.295,2.557,0,0,0,0,0,0
2005/04/02 00:10:30.000,1,7,123.061,2.551,0,0,0,0,0,0
2005/04/02 00:11:00.000,1,7,128.471,2.544,0,0,0,0,0,0
2005/04/02 00:11:30.000,1,7,132.494,2.537,0,0,0,0,0,0
2005/04/02 00:12:00.000,1,7,144.454,2.530,0,0,0,0,0,0
2005/04/02 00:12:30.000,1,7,158.748,2.524,0,0,0,0,0,0
2005/04/02 00:13:00.000,1,7,162.688,2.517,0,0,0,0,0,0
2005/04/02 00:13:30.000,1,7,173.348,2.510,0,0,0,0,0,0
2005/04/02 00:14:00.000,1,7,185.748,2.504,0,0,0,0,0,0
2005/04/02 00:14:30.000,1,7,186.116,2.497,0,0,0,0,0,0
2005/04/02 00:15:00.000,1,7,175.798,2.490,0,0,0,0,0,0
2005/04/02 00:15:30.000,1,7,166.228,2.484,0,0,0,0,0,0
2005/04/02 00:16:00.000,1,7,156.868,2.477,0,0,0,0,0,0
2005/04/02 00:16:30.000,1,7,147.262,2.471,0,0,0,0,0,0
2005/04/02 00:17:00.000,1,7,146.676,2.464,0,0,0,0,0,0
2005/04/02 00:17:30.000,1,7,142.394,2.458,0,0,0,0,0,0
2005/04/02 00:18:00.000,1,6,78.073,2.987,0,0,0,0,0,0
2005/04/02 00:18:30.000,1,6,77.838,2.991,0,0,0,0,0,0
2005/04/02 00:19:00.000,1,6,77.609,2.995,0,0,0,0,0,0
2005/04/02 00:19:30.000,1,6,77.765,2.999,0,0,0,0,0,0
2005/04/02 00:20:00.000,1,6,76.577,3.003,0,0,0,0,0,0
2005/04/02 00:20:30.000,1,6,75.993,3.007,0,0,0,0,0,0
2005/04/02 00:20:59.999,1,6,75.794,3.011,0,0,0,0,0,0
2005/04/02 00:21:30.000,1,6,76.688,3.015,0,0,0,0,0,0
2005/04/02 00:22:00.000,1,6,82.161,3.019,0,0,0,0,0,0
2005/04/02 00:22:30.000,1,6,84.671,3.023,0,0,0,0,0,0
2005/04/02 00:23:00.000,1,6,90.424,3.026,0,0,0,0,0,0
2005/04/02 00:23:30.000,1,6,93.297,3.030,0,0,0,0,0,0
2005/04/02 00:24:00.000,1,6,96.087,3.034,0,0,0,0,0,0
2005/04/02 00:24:30.000,1,6,100.527,3.038,0,0,0,0,0,0
2005/04/02 00:25:00.000,1,6,103.993,3.042,0,0,0,0,0,0
2005/04/02 00:25:30.000,1,6,106.812,3.046,0,0,0,0,0,0
2005/04/02 00:26:00.000,1,6,110.534,3.049,0,0,0,0,0,0
2005/04/02 00:26:30.000,1,6,117.702,3.053,0,0,0,0,0,0
2005/04/02 00:27:00.000,1,6,123.364,3.057,0,0,0,0,0,0
2005/04/02 00:27:30.000,1,6,127.843,3.060,0,0,0,0,0,0
2005/04/02 00:28:00.000,1,6,134.169,3.064,0,0,0,0,0,0
2005/04/02 00:28:30.000,1,6,140.073,3.067,0,0,0,0,0,0
2005/04/02 00:29:00.000,1,6,147.884,3.071,0,0,0,0,0,0
2005/04/02 00:29:30.000,1,6,149.390,3.074,0,0,0,0,0,0
2005/04/02 00:30:00.000,1,6,146.662,3.078,0,0,0,0,0,0
2005/04/02 00:30:30.000,1,6,144.940,3.081,0,0,0,0,0,0
2005/04/02 00:31:00.000,1,6,144.973,3.084,0,0,0,0,0,0
2005/04/02 00:31:30.000,1,6,145.961,3.087,0,0,0,0,0,0
2005/04/02 00:32:00.000,1,6,147.959,3.090,0,0,0,0,0,0
2005/04/02 00:32:30.000,1,6,149.058,3.093,0,0,0,0,0,0
2005/04/02 00:33:00.000,1,6,155.344,3.096,0,0,0,0,0,0
2005/04/02 00:33:30.000,1,6,164.801,3.098,0,0,0,0,0,0
2005/04/02 00:34:00.000,1,6,177.896,3.101,0,0,0,0,0,0
2005/04/02 00:34:30.000,1,6,189.058,3.103,0,0,0,0,0,0
2005/04/02 00:35:00.000,1,6,192.133,3.106,0,0,0,0,0,0
2005/04/02 00:35:30.000,1,6,195.038,3.108,0,0,0,0,0,0
2005/04/02 00:36:00.000,1,6,198.262,3.110,0,0,0,0,0,0
2005/04/02 00:36:30.000,1,6,199.369,3.112,0,0,0,0,0,0
2005/04/02 00:37:00.000,1,6,199.162,3.114,0,0,0,0,0,0
2005/04/02 00:37:30.000,1,6,200.730,3.116,0,0,0,0,0,0
2005/04/02 00:38:00.000,1,6,201.198,3.117,0,0,0,0,0,0
2005/04/02 00:38:30.000,1,6,203.995,3.119,0,0,0,0,0,0
2005/04/02 00:39:00.000,1,6,200.841,3.120,0,0,0,0,0,0
2005/04/02 00:39:30.000,1,6,201.421,3.121,0,0,0,0,0,0
2005/04/02 00:40:00.000,1,6,196.823,3.122,0,0,0,0,0,0
2005/04/02 00:40:30.000,1,6,197.187,3.123,0,0,0,0,0,0
2005/04/02 00:41:00.000,1,6,199.131,3.124,0,0,0,0,0,0
2005/04/02 00:41:30.000,1,6,200.245,3.124,0,0,0,0,0,0
2005/04/02 00:42:00.000,1,6,202.951,3.125,0,0,0,0,0,0
2005/04/02 00:42:30.000,1,6,202.979,3.125,0,0,0,0,0,0
2005/04/02 00:43:00.000,1,6,201.789,3.125,0,0,0,0,0,0
2005/04/02 00:43:30.000,1,6,204.492,3.125,0,0,0,0,0,0
2005/04/02 00:44:00.000,1,6,206.106,3.124,0,0,0,0,0,0
2005/04/02 00:44:30.000,1,6,209.423,3.124,0,0,0,0,0,0
2005/04/02 00:45:00.000,1,6,214.417,3.123,0,0,0,0,0,0
2005/04/02 00:45:30.000,1,6,212.695,3.123,0,0,0,0,0,0
2005/04/02 00:46:00.000,1,6,210.472,3.122,0,0,0,0,0,0
2005/04/02 00:46:30.000,1,6,208.363,3.121,0,0,0,0,0,0
2005/04/02 00:47:00.000,1,6,206.016,3.119,0,0,0,0,0,0
2005/04/02 00:47:30.000,1,6,209.238,3.118,0,0,0,0,0,0
2005/04/02 00:48:00.000,1,6,212.749,3.117,0,0,0,0,0,0
2005/04/02 00:48:30.000,1,6,213.655,3.115,0,0,0,0,0,0
2005/04/02 00:49:00.000,1,6,214.829,3.113,0,0,0,0,0,0
