time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:00:00.000,1,7,24.907,2.677,0,0,0,0,0,0
2005/04/02 00:00:30.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:01:00.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:01:30.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:02:00.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:02:30.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:03:00.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:03:30.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:04:00.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:04:30.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:05:00.000,0,7,0.000,0.000,0,0,0,0,0,0
2005/04/02 00:05:30.000,1,7,35.667,2.615,0,0,0,0,0,0
2005/04/02 00:06:00.000,1,7,38.934,2.609,0,0,0,0,0,0
2005/04/02 00:06:30.000,1,7,41.947,2.603,0,0,0,0,0,0
2005/04/02 00:07:00.000,1,7,47.235,2.597,0,0,0,0,0,0
2005/04/02 00:07:30.000,1,7,46.843,2.590,0,0,0,0,0,0
2005/04/02 00:08:00.000,1,7,57.501,2.584,0,0,0,0,0,0
2005/04/02 00:08:30.000,1,7,71.864,2.577,0,0,0,0,0,0
2005/04/02 00:09:00.000,1,7,78.610,2.570,0,0,0,0,0,0
2005/04/02 00:09:30.000,1,7,78.078,2.564,0,0,0,0,0,0
2005/04/02 00:10:00.000,1,7,82.980,2.557,0,0,0,0,0,0
2005/04/02 00:10:30.000,1,7,106.596,2.551,0,0,0,0,0,0
2005/04/02 00:11:00.000,1,7,112.964,2.544,0,0,0,0,0,0
2005/04/02 00:11:30.000,1,7,114.871,2.537,0,0,0,0,0,0
2005/04/02 00:12:00.000,1,7,125.434,2.530,0,0,0,0,0,0
2005/04/02 00:12:30.000,1,7,131.823,2.524,0,0,0,0,0,0
2005/04/02 00:13:00.000,1,7,126.223,2.517,0,0,0,0,0,0
2005/04/02 00:13:30.000,1,7,130.830,2.510,0,0,0,0,0,0
2005/04/02 00:14:00.000,1,7,136.064,2.504,0,0,0,0,0,0
2005/04/02 00:14:30.000,1,7,133.091,2.497,0,0,0,0,0,0
2005/04/02 00:15:00.000,1,7,122.290,2.490,0,0,0,0,0,0
2005/04/02 00:15:30.000,1,7,113.243,2.484,0,0,0,0,0,0
2005/04/02 00:16:00.000,1,7,104.323,2.477,0,0,0,0,0,0
2005/04/02 00:16:30.000,1,7,96.290,2.471,0,0,0,0,0,0
2005/04/02 00:17:00.000,1,7,96.310,2.464,0,0,0,0,0,0
2005/04/02 00:17:30.000,1,7,94.117,2.458,0,0,0,0,0,0
2005/04/02 00:18:00.000,1,6,64.373,2.987,0,0,0,0,0,0
2005/04/02 00:18:30.000,1,6,64.192,2.991,0,0,0,0,0,0
2005/04/02 00:19:00.000,1,6,64.983,2.995,0,0,0,0,0,0
2005/04/02 00:19:30.000,1,6,65.647,2.999,0,0,0,0,0,0
2005/04/02 00:20:00.000,1,6,65.516,3.003,0,0,0,0,0,0
2005/04/02 00:20:30.000,1,6,64.901,3.007,0,0,0,0,0,0
2005/04/02 00:20:59.999,1,6,65.031,3.011,0,0,0,0,0,0
2005/04/02 00:21:30.000,1,6,66.746,3.015,0,0,0,0,0,0
2005/04/02 00:22:00.000,1,6,72.410,3.019,0,0,0,0,0,0
2005/04/02 00:22:30.000,1,6,75.452,3.023,0,0,0,0,0,0
