time,stat,ns,ratio,gdop,n_slip,n_reject,n_downweight,n_low_snr,n_low_el,n_res_outlier
2005/04/02 00:00:00.000,1,7,24.907,2.677,0,0,0,0,0,0
2005/04/02 00:00:30.000,2,7,0.000,2.672,0,2,0,0,0,2
2005/04/02 00:01:00.000,2,7,0.000,2.667,0,0,2,0,0,2
2005/04/02 00:01:30.000,2,7,0.000,2.662,0,0,2,0,0,2
2005/04/02 00:02:00.000,2,7,0.000,2.657,0,0,2,0,0,2
2005/04/02 00:02:30.000,2,7,0.000,2.651,0,0,2,0,0,2
2005/04/02 00:03:00.000,2,7,0.000,2.645,0,2,0,0,0,2
2005/04/02 00:03:30.000,2,7,0.000,2.640,0,0,2,0,0,2
2005/04/02 00:04:00.000,2,7,0.000,2.634,0,0,2,0,0,2
2005/04/02 00:04:30.000,2,7,0.000,2.628,0,0,2,0,0,2
2005/04/02 00:05:00.000,2,7,0.000,2.622,0,0,2,0,0,2
2005/04/02 00:05:30.000,2,7,0.000,2.615,0,0,0,0,0,0
2005/04/02 00:06:00.000,2,7,0.000,2.609,0,0,0,0,0,0
2005/04/02 00:06:30.000,2,7,0.000,2.603,0,0,0,0,0,0
2005/04/02 00:07:00.000,2,7,0.000,2.597,0,0,0,0,0,0
2005/04/02 00:07:30.000,2,7,0.000,2.590,0,0,0,0,0,0
2005/04/02 00:08:00.000,2,7,0.000,2.584,0,0,0,0,0,0
2005/04/02 00:08:30.000,2,7,0.000,2.577,0,0,0,0,0,0
2005/04/02 00:09:00.000,2,7,0.000,2.570,0,0,0,0,0,0
2005/04/02 00:09:30.000,2,7,0.000,2.564,0,0,0,0,0,0
2005/04/02 00:10:00.000,2,7,0.000,2.557,0,0,0,0,0,0
2005/04/02 00:10:30.000,2,7,0.000,2.551,0,0,0,0,0,0
2005/04/02 00:11:00.000,2,7,0.000,2.544,0,0,0,0,0,0
2005/04/02 00:11:30.000,2,7,0.000,2.537,0,0,0,0,0,0
2005/04/02 00:12:00.000,2,7,0.000,2.530,0,0,0,0,0,0
2005/04/02 00:12:30.000,2,7,0.000,2.524,0,0,0,0,0,0
2005/04/02 00:13:00.000,2,7,0.000,2.517,0,0,0,0,0,0
2005/04/02 00:13:30.000,2,7,0.000,2.510,0,0,0,0,0,0
2005/04/02 00:14:00.000,2,7,0.000,2.504,0,0,0,0,0,0
2005/04/02 00:14:30.000,2,7,0.000,2.497,0,0,0,0,0,0
2005/04/02 00:15:00.000,2,7,0.000,2.490,0,0,0,0,0,0
2005/04/02 00:15:30.000,2,7,0.000,2.484,0,0,0,0,0,0
2005/04/02 00:16:00.000,2,7,0.000,2.477,0,0,0,0,0,0
2005/04/02 00:16:30.000,2,7,0.000,2.471,0,0,0,0,0,0
2005/04/02 00:17:00.000,2,7,0.000,2.464,0,0,0,0,0,0
2005/04/02 00:17:30.000,1,7,183.079,2.458,0,0,0,0,0,0
2005/04/02 00:18:00.000,1,6,96.953,2.987,0,0,0,0,0,0
2005/04/02 00:18:30.000,1,6,92.248,2.991,0,0,0,0,0,0
2005/04/02 00:19:00.000,1,6,90.168,2.995,0,0,0,0,0,0
2005/04/02 00:19:30.000,1,6,88.622,2.999,0,0,0,0,0,0
2005/04/02 00:20:00.000,1,6,86.592,3.003,0,0,0,0,0,0
2005/04/02 00:20:30.000,1,6,85.250,3.007,0,0,0,0,0,0
2005/04/02 00:20:59.999,1,6,84.592,3.011,0,0,0,0,0,0
2005/04/02 00:21:30.000,1,6,85.044,3.015,0,0,0,0,0,0
2005/04/02 00:22:00.000,1,6,90.666,3.019,0,0,0,0,0,0
2005/04/02 00:22:30.000,1,6,92.630,3.023,0,0,0,0,0,0
2005/04/02 00:23:00.000,1,6,98.778,3.026,0,0,0,0,0,0
2005/04/02 00:23:30.000,1,6,100.568,3.030,0,0,0,0,0,0
2005/04/02 00:24:00.000,1,6,103.178,3.034,0,0,0,0,0,0
2005/04/02 00:24:30.000,1,6,107.715,3.038,0,0,0,0,0,0
2005/04/02 00:25:00.000,1,6,111.159,3.042,0,0,0,0,0,0
2005/04/02 00:25:30.000,1,6,113.456,3.046,0,0,0,0,0,0
2005/04/02 00:26:00.000,1,6,117.599,3.049,0,0,0,0,0,0
2005/04/02 00:26:30.000,1,6,124.964,3.053,0,0,0,0,0,0
2005/04/02 00:27:00.000,1,6,131.014,3.057,0,0,0,0,0,0
2005/04/02 00:27:30.000,1,6,135.169,3.060,0,0,0,0,0,0
2005/04/02 00:28:00.000,1,6,141.103,3.064,0,0,0,0,0,0
2005/04/02 00:28:30.000,1,6,146.589,3.067,0,0,0,0,0,0
2005/04/02 00:29:00.000,1,6,154.205,3.071,0,0,0,0,0,0
2005/04/02 00:29:30.000,1,6,155.015,3.074,0,0,0,0,0,0
2005/04/02 00:30:00.000,1,6,151.301,3.078,0,0,0,0,0,0
2005/04/02 00:30:30.000,1,6,148.972,3.081,0,0,0,0,0,0
2005/04/02 00:31:00.000,1,6,148.510,3.084,0,0,0,0,0,0
2005/04/02 00:31:30.000,1,6,149.000,3.087,0,0,0,0,0,0
2005/04/02 00:32:00.000,1,6,150.616,3.090,0,0,0,0,0,0
2005/04/02 00:32:30.000,1,6,151.215,3.093,0,0,0,0,0,0
2005/04/02 00:33:00.000,1,6,157.366,3.096,0,0,0,0,0,0
2005/04/02 00:33:30.000,1,6,166.842,3.098,0,0,0,0,0,0
2005/04/02 00:34:00.000,1,6,177.064,3.101,0,0,0,0,0,0
2005/04/02 00:34:30.000,1,6,185.842,3.103,0,0,0,0,0,0
2005/04/02 00:35:00.000,1,6,189.004,3.106,0,0,0,0,0,0
2005/04/02 00:35:30.000,1,6,191.806,3.108,0,0,0,0,0,0
2005/04/02 00:36:00.000,1,6,195.243,3.110,0,0,0,0,0,0
2005/04/02 00:36:30.000,1,6,196.354,3.112,0,0,0,0,0,0
2005/04/02 00:37:00.000,1,6,196.155,3.114,0,0,0,0,0,0
2005/04/02 00:37:30.000,1,6,197.832,3.116,0,0,0,0,0,0
2005/04/02 00:38:00.000,1,6,198.428,3.117,0,0,0,0,0,0
2005/04/02 00:38:30.000,1,6,201.312,3.119,0,0,0,0,0,0
2005/04/02 00:39:00.000,1,6,198.353,3.120,0,0,0,0,0,0
2005/04/02 00:39:30.000,1,6,199.021,3.121,0,0,0,0,0,0
2005/04/02 00:40:00.000,1,6,194.533,3.122,0,0,0,0,0,0
2005/04/02 00:40:30.000,1,6,195.034,3.123,0,0,0,0,0,0
2005/04/02 00:41:00.000,1,6,197.095,3.124,0,0,0,0,0,0
2005/04/02 00:41:30.000,1,6,198.242,3.124,0,0,0,0,0,0
2005/04/02 00:42:00.000,1,6,201.110,3.125,0,0,0,0,0,0
2005/04/02 00:42:30.000,1,6,201.302,3.125,0,0,0,0,0,0
2005/04/02 00:43:00.000,1,6,200.182,3.125,0,0,0,0,0,0
2005/04/02 00:43:30.000,1,6,202.996,3.125,0,0,0,0,0,0
2005/04/02 00:44:00.000,1,6,204.738,3.124,0,0,0,0,0,0
2005/04/02 00:44:30.000,1,6,208.230,3.124,0,0,0,0,0,0
2005/04/02 00:45:00.000,1,6,213.296,3.123,0,0,0,0,0,0
