label,epochs,fix_ratio,float_ratio,single_ratio,ttff_s,ratio_mean,ratio_median,ratio_p95,std_e,std_n,std_u,rms_e,rms_n,rms_u,diag_down_reject_rate,diag_max_var_factor,cycle_slip_mw_count,cycle_slip_mw_rate,cycle_slip_gf_count,cycle_slip_gf_rate,injected_mw_hit_count,injected_mw_hit_rate,injected_gf_hit_count,injected_gf_hit_rate,mw_false_alarm_count,mw_false_alarm_rate
clean_off,115,1,0,0,0,153.462608695652,149.4,232.07,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,NaN,0,NaN,0,NaN
clean_slipmw_on,115,1,0,0,0,153.462608695652,149.4,232.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
blind_off,115,0.878260869565217,0.121739130434783,0,0,24.904347826087,19.2,87.38,0.0971030636777322,0.175654108515006,0.155091741546599,0.101976417821606,0.180205192886201,0.160520301573948,0.00551724137931034,1,0,0,0,0,0,0,0,0,0,0
blind_slipmw_on,115,0.730434782608696,0.269565217391304,0,0,17.7565217391304,6.6,87.38,0.11240542864682,0.112672267689021,0.190892260130889,0.127305669418983,0.132509408313345,0.205197652118103,0.0124137931034483,1,2,0.00137931034482759,0,0,2,0.00869565217391304,0,0,0,0
normal_off,115,1,0,0,0,135.387826086957,123.9,224.52,0,0,0,0,0,0,0,1,0,0,4,0.00275862068965517,0,0,4,0.0173913043478261,0,0
normal_slipmw_on,115,1,0,0,0,135.387826086957,123.9,224.52,0,0,0,0,0,0,0,1,0,0,4,0.00275862068965517,0,0,4,0.0173913043478261,0,0
clean_arwl_on,115,1,0,0,0,197.285217391304,173.3,382.29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
blind_arwl_on,115,0.878260869565217,0.121739130434783,0,0,27.195652173913,19.2,87.38,0.0971030636777322,0.175654108515006,0.155091741546599,0.101976417821606,0.180205192886201,0.160520301573948,0.00551724137931034,1,0,0,0,0,0,0,0,0,0,0
clean_off_strict150,115,0.495652173913044,0.504347826086956,0,749.999992370605,153.46347826087,149.4,232.07,0.0436967741792244,0.0222391392217402,0.0884489715026571,0.0556413161121026,0.0227166974916092,0.0882776617566261,0,1,0,0,0,0,0,0,0,0,0,0
clean_arwl_strict150,115,0.565217391304348,0.434782608695652,0,540,196.410434782609,173.3,382.29,0.0443502062515794,0.0219521359917736,0.0883672019033919,0.0543613699748251,0.0223909899771326,0.0882012584944223,0,1,0,0,0,0,0,0,0,0,0,0
blind_off_strict150,115,0,1,0,NaN,24.904347826087,19.2,87.38,0.119134218547896,0.18408710502958,0.199529579522687,0.126327285958246,0.184943599451826,0.198761278706501,0.00551724137931034,1,0,0,0,0,0,0,0,0,0,0
blind_arwl_strict150,115,0.0173913043478261,0.982608695652174,0,540,25.7947826086956,19.2,87.38,0.119267628430378,0.184080938241275,0.199521031977515,0.126237183916852,0.184940481006822,0.198756919048281,0.00551724137931034,1,0,0,0,0,0,0,0,0,0,0
